source,registry_id,ctri_registration_number,nct_number,trial_title,scientific_title,cancer_type_indication,investigational_treatment,mrna_qualification_rationale,trial_phase,recruitment_status,date_of_registration,study_start_date,sponsor,principal_investigator,indian_trial_sites,participating_hospitals_institutions,contact_person,contact_email,contact_phone,key_inclusion_criteria,key_exclusion_criteria,relevant_age_limits,ctri_url,international_identifiers,clinicaltrials_gov_url,category,qualifies_mrna_cancer_vaccine,has_verified_india_site,manual_verification_reason,classification_tier,classification_vetoes
ClinicalTrials.gov,NCT00488774,,NCT00488774,An Efficacy and Safety Study of Golimumab in Participants With Ulcerative Colitis,"A Phase 2/3 Multicenter, Randomized, Placebo-controlled, Double-blind Study to Evaluate the Safety and Efficacy of Golimumab Induction Therapy, Administered Intravenously, in Subjects With Moderately to Severely Active Ulcerative Colitis","Colitis, Ulcerative","Placebo | Matching placebo for golimumab, intravenous infusion administered at Week 0; Golimumab 1 mg per kg | CNTO 148 | Golimumab 1 mg per kg intravenous (IV) infusion administered at Week 0; Golimumab 2 mg per kg | CNTO 148 | Golimumab 2 mg per kg intravenous (IV) infusion administered at Week 0; Golimumab 4 mg per kg | Golimumab 4 mg per kg intravenous (IV) infusion at Week 0","Missing required evidence: mRNA platform, vaccine modality.",PHASE2; PHASE3,TERMINATED,2007-06-18,2007-08,"Janssen Research & Development, LLC","Janssen Research & Development, LLC Clinical Trial","Hyderabad Andh Prad, India; Jaipur, India; Lucknow, India; Ludhiana, India; Pune, India",,,,,"* Participants diagnosed with moderately to severely active ulcerative colitis (UC) defined by a Mayo score of 6 to 12 inclusive at Baseline (Week 0), including an endoscopic (examination of an internal part of the body with a lighted tube; looking at a part of the body with a lighted tube) subscore of greater than or equal to 2
* Participants must have biopsy results (collected at the screening endoscopy (procedure or obtained within the last year) consistent with the diagnosis of UC
* Participants either currently receiving treatment with, or have a history of failure to respond to, or tolerate, at least 1 of the following therapies: oral 5-aminosalicylate (5-ASAs), oral corticosteroids, 6-mercaptopurine (6-MP) and azathioprine (AZA)
* Participants with current dependency or with a history of corticosteroid dependency (i.e. an inability to successfully taper corticosteroids without a return of the symptoms of UC) - Not have a diagnosis of active TB","* Participants with previous exposure to biologic anti-tumor necrosis factor (TNF) agents
* Participants with severe extensive UC that is likely to require a colectomy (surgery to remove part or all of the colon) within 12 weeks of study entry
* Participants having UC limited to the rectum only or to less than 20 centimeter (cm) of the colon
* Presence of a stoma (an artificial permanent opening especially in the abdominal wall made in surgical procedures) or presence of a fistula
* Participants with a history of extensive colonic resection",18 Years,,NCT00488774,https://clinicaltrials.gov/study/NCT00488774,D,False,True,"Missing required evidence: mRNA platform, vaccine modality.",D_excluded,
ClinicalTrials.gov,NCT00514904,,NCT00514904,Non-Inferiority of Meningococcal Vaccine GSK134612 Versus Mencevax™ in 2-10 Year Old Subjects,Non-inferiority of GSK Biologicals' Meningococcal Vaccine GSK134612 Versus Mencevax™ in Healthy Subjects Aged 2 Through 10 Years of Age,"Infections, Meningococcal; Meningococcal Vaccines","Nimenrix | Meningococcal vaccine GSK134612 | Single dose, intramuscular injection; Mencevax | Single dose, subcutaneous injection","Missing required evidence: mRNA platform, cancer indication.",PHASE3,COMPLETED,2007-08-09,2007-09-18,GlaxoSmithKline,GSK Clinical Trials,"GSK Investigational Site, Goa, India; GSK Investigational Site, Indore, India; GSK Investigational Site, New Delhi, India; GSK Investigational Site, Vellore, India",GSK Investigational Site; GSK Investigational Site; GSK Investigational Site; GSK Investigational Site,,,,"* Subjects who the investigator believes that their parents or guardians can and will comply with the requirements of the protocol.
* A male or female between, and including, 2 and 10 years of age at the time of vaccination.
* Written informed consent obtained from the parent or guardian of the subject.
* Free of obvious health problems as established by medical history and clinical examination before entering into the study.
* Previously completed routine childhood vaccinations to the best of his/her parents'/guardians' knowledge.","* Use of any investigational or non-registered product (drug or vaccine) other than the study vaccine(s) within 30 days preceding the first dose of study vaccine, or planned use during the study period.
* Chronic administration (defined as more than 14 days) of immunosuppressants or other immune-modifying drugs within six months prior to the first vaccine dose.
* Planned administration/ administration of a vaccine not foreseen by the study protocol within one month of the dose of vaccine.
* Previous vaccination with meningococcal polysaccharide vaccine of serogroup A, C, W-135 and/or Y (for subjects below 6 years) or within the last five previous years (for subjects 6 years old or above).
* Previous vaccination with meningococcal polysaccharide conjugate vaccine of serogroups A, C, W-135 and/or Y.
* Previous vaccination with tetanus toxoid within the last month.
* History of meningococcal disease.
* Any confirmed or suspected immunosuppressive or immunodeficient condition (congenital or secondary), including human immunodeficiency virus (HIV) infection, based on medical history and physical examination..
* History of reactions or allergic disease likely to be exacerbated by any component of the vaccine(s).
* Major congenital defects or serious chronic illness.
* Acute disease at the time of enrolment.
* Administration of immunoglobulins and/or any blood products within the three months preceding the first dose of study vaccine or planned administration during the study period.",2 Years to 10 Years,,NCT00514904,https://clinicaltrials.gov/study/NCT00514904,D,False,True,"Missing required evidence: mRNA platform, cancer indication.",D_excluded,
ClinicalTrials.gov,NCT00525408,,NCT00525408,A Study of Mycobacterium w Plus Docetaxel for Hormone Refractory Metastatic Prostate Cancer,"Open Label, Randomized Multicentric Phase II Clinical Trial of Mycobacterium w in Combination With Docetaxel Versus Docetaxel in Metastatic Hormone Refractory Prostate Cancer.",Hormone Refractory Prostate Cancer,Mycobacterium w. | Immunomodulator; Docetaxel | Chemotherapeutic agent,Cancer vaccine present but platform is not stated as mRNA - may be peptide/DC/DNA/viral-vector. Verify the construct.,PHASE2,TERMINATED,2007-09-01,2007-11,Cadila Pharnmaceuticals,"Sudhir Rawal, MD; Arup Kumar Mandal, MD; Devakar Dalela, MD; N K Mohanty, M.D.; Jayesh Dhabalia, MD; Arun Chawla, MD; Sujata Patwardhan, MD; P G Jayaprakash, MD; Amil Lal Bhat, MD; Raju T Chacko, MD; Sushil Bhatia, MD; Kim Mammen, MD; K C Lakshmaiah, MD; Rajeev Gupta, MD","Post Graduate Institute of Medical Education and Research, Chandigarh, Chandigarh, India; Kidwai Memorial Institute of Oncology, Bangalore, Karnataka, India; Kasturba Hospital,, Manipal, Karnataka, India; Regional Cancer Centre, Trivandrum, Kerala, India; Choithram Hospital & Research Centre, Indore, Madhya Pradesh, India; Seth G.S. Medical College & KEM Hospital, Pārel, Mumbai, India; Lokmanya Tilak Municipal Medical College & General Hospital, Sion, Mumbai, India; V.M. Medical College & Safdarjang Hospital, New Delhi, National Capital Territory of Delhi, India; Rajiv Gandhi Cancer Institute & Research Center, Rohini, National Capital Territory of Delhi, India; Patel Hospital Pvt. Ltd., Jalandhar, Punjab, India; Christian Medical College, Ludhiana, Ludhiana, Punjab, India; S.P. Medical College & A. G. of Hospitals, Bikaner, Rajashthan, India; Christian Medical College, Vellore, Tamil Nadu, India; Chatrapati Sahuji Mahraj Medical University, Lucknow, Uttar Pradesh, India","Post Graduate Institute of Medical Education and Research; Kidwai Memorial Institute of Oncology; Kasturba Hospital,; Regional Cancer Centre; Choithram Hospital & Research Centre; Seth G.S. Medical College & KEM Hospital; Lokmanya Tilak Municipal Medical College & General Hospital; V.M. Medical College & Safdarjang Hospital; Rajiv Gandhi Cancer Institute & Research Center; Patel Hospital Pvt. Ltd.; Christian Medical College, Ludhiana; S.P. Medical College & A. G. of Hospitals; Christian Medical College; Chatrapati Sahuji Mahraj Medical University",,,,"* Histologically or cytologically confirmed adenocarcinoma of the prostate with clinical or radiologic evidence of metastatic disease.
* Disease progression during antiandrogen therapy, having surgical or medical castration status.
* Karnofsky Performance Status 50-100
* Normal cardiac function
* Life expectancy at least 24 weeks.
* Laboratory criteria for eligibility will include
* A neutrophil count of at least 1500 per cubic millimeter
* A hemoglobin level of at least 9 gm%
* A platelet count of at least 1000,000 per cubic millimeter.
* A total bilirubin not grater than 1.5 times the upper limit of the normal range for each institution.
* Serum creatinine levels not more than 1.5 times the upper limit of the normal range
* Written informed consent","* Prior treatment with cytotoxic agents or radioisotopes
* Estrogen use for at least three months
* History of another cancer within the preceding five years (except basal or squamous-cell skin cancer)
* Brain or leptomeningeal metastases
* Symptomatic peripheral neuropathy of grade 2 or higher
* Uncontrolled intercurrent illness that would limit compliance with study requirements",18 Years,,NCT00525408,https://clinicaltrials.gov/study/NCT00525408,D,False,True,Cancer vaccine present but platform is not stated as mRNA - may be peptide/DC/DNA/viral-vector. Verify the construct.,C_possible_manual_verification,
ClinicalTrials.gov,NCT00537381,,NCT00537381,An Efficacy and Safety Study of Intetumumab (CNTO 95) in Participants With Metastatic Hormone Refractory Prostate Cancer,"A Randomized, Double-blind, Multicenter, Phase 2 Study of a Human Monoclonal Antibody to Human av Integrins (CNTO 95) in Combination With Docetaxel for the First-Line Treatment of Subjects With Metastatic Hormone Refractory Prostate Cancer",Prostatic Neoplasms,"Docetaxel | Docetaxel 75 mg/m\^2 as intravenous infusion every 3 weeks.; Prednisone | Prednisone 5 mg orally twice daily.; Intetumumab | CNTO 95 | Intetumumab 10 mg/kg as intravenous infusion every week for initial 6 weeks, then every 3 weeks.; Placebo | Placebo matching to intetumumab, as intravenous infusion every week for initial 6 weeks, then every 3 weeks.","Missing required evidence: mRNA platform, vaccine modality.",PHASE2,COMPLETED,2007-09-27,2007-05,"Centocor, Inc.","Centocor, Inc. Clinical Trial","Ahmedabad, India; Bangalore, India; Chennai, India; Mumbai, India; New Delhi, India; Pune, India",,,,,"* Confirmed cancer of the prostate
* Evidence of metastatic disease
* Have a life expectancy greater than 12 weeks
* Have at least 4 weeks from previous major surgery to date of first study agent given
* Have progressive hormone-refractory disease after orchiectomy or gonadotropin-releasing hormone analog and/or antiandrogen treatment within 6 months prior to the first study agent administration","* Have known Central Nervous System metastases (cancerous tumors that have spread to the brain from somewhere else in the body)
* Had prior systemic non-hormonal therapy for hormone refractory prostate cancer
* Have known Human Immunodeficiency Virus (HIV, a life-threatening infection which you can get from an infected person's blood or from having sex with an infected person) seropositivity or known hepatitis B or C infection
* Have planned major surgery during the study
* Have taken any over-the-counter (medicine that can be bought without a prescription) or herbal treatment for prostate cancer within 4 weeks prior to the first study treatment administration",18 Years,,NCT00537381,https://clinicaltrials.gov/study/NCT00537381,D,False,True,"Missing required evidence: mRNA platform, vaccine modality.",D_excluded,
ClinicalTrials.gov,NCT00543725,,NCT00543725,TMC278-TiDP6-C215: A Clinical Trial in Treatment Naive HIV-subjects Patients Comparing TMC278 to Efavirenz in Combination With 2 Nucleoside/Nucleotide Reverse Transcriptase Inhibitors,"A Phase III, Randomized, Double-blind Trial of TMC278 25mg q.d. Versus Efavirenz 600mg q.d. in Combination With a Background Regimen Containing 2 Nucleoside/Nucleotide Reverse Transcriptase Inhibitors in Antiretroviral-naive HIV-1 Infected Subjects.",HIV Infections; HIV-1,TMC278 | 25 mg tablet once daily for 96 weeks; efavirenz | 600 mg tablet once daily for 96 weeks,Cancer vaccine present but platform is not stated as mRNA - may be peptide/DC/DNA/viral-vector. Verify the construct.,PHASE3,COMPLETED,2007-10-11,2008-06,"Tibotec Pharmaceuticals, Ireland","Tibotec Pharmaceuticals, Ireland Clinical Trial","Chennai, India; Nagpur, India",,,,,"* Patient with documented HIV-1 infection
* Patient has never been treated with a therapeutic HIV vaccine or an ARV drug prior to screening
* Patient's HIV-1 plasma viral load at screening is \> 5,000 HIV-1 RNA copies/mL (assayed by RNA PCR standard specimen procedure)
* Patient's virus is sensitive to the 2 nucleoside/nucleotide reverse transcriptase inhibitors chosen for treatment
* Patient agrees not to start ART before the baseline visit
* Patient is HLA-B\*5701 negative in case abacavir is included in the patient's treatment regimen.","* Previous use of ANY ARV drug for ANY length of time
* Any documented evidence of NNRTI resistance associated mutations in patient's HIV
* Category C AIDS defining illness, except, Stable Kaposi Sarcoma Wasting syndrome if not progressive
* Pneumocystis carinii pneumonia (PCP) that is considered not cured
* Active TB
* Allergy or hypersensitivity to study or background ARTs
* Specific grade 3 or 4 toxicity
* Kidney impairment: calculated creatinine clearance \<50 ml/min",18 Years to 99 Years,,NCT00543725,https://clinicaltrials.gov/study/NCT00543725,D,False,True,Cancer vaccine present but platform is not stated as mRNA - may be peptide/DC/DNA/viral-vector. Verify the construct.,C_possible_manual_verification,
ClinicalTrials.gov,NCT00548054,,NCT00548054,Safety and Immunogenicity of a Killed Oral Cholera Vaccine in Infants,Safety and Immunogenicity of a Killed Oral Cholera Vaccine Among Infants 10 Weeks to Less Than 12 Months of Age When Given Concomitantly With EPI Vaccines,Cholera; Diarrhea; Vibrio Infections,"Bivalent killed oral cholera vaccine | Shanchol | Oral, 1.5 ml, given 2 times at least 14 days apart; Killed Escherichia coli K12 placebo | oral, 1.5 ml per dose","Missing required evidence: mRNA platform, cancer indication.",PHASE2,UNKNOWN,2007-10-21,2015-12,International Vaccine Institute,"Alok K Deb, PhD, MDDS","National Institute of Cholera and Enteric Disease, Kolkata, West Bengal, India",National Institute of Cholera and Enteric Disease,"Alok K Deb, PhD, MBBS; Alok K Deb, PhD, MBBS",adeb2@yahoo.com,91-33-2363-3373,", Infants 10 weeks to 6 months of age at Day 0:

* Healthy infants aged from birth to 2 months who have not received OPV1, DTP1 or HepB2 will be recruited in Kolkata, North 24 Parganas, and South 24 Parganas
* All subjects must satisfy the following criteria at study entry:

  1. Male or female infants aged from birth to 2 months who the investigator believes will comply with the requirements of the protocol (i.e., available for follow-up visits and specimen collection)
  2. Written informed consent obtained from their parents/guardians
  3. Healthy subjects as determined by:

     * Medical history
     * Physical examination
     * Clinical judgment of the investigator

Inclusion Criteria, Infants 9 months to less than 12 months

* Healthy infants aged from 9 months to less than 12 months who have not received measles vaccine will be recruited in Kolkata, North 24 Parganas, and South 24 Parganas
* All subjects must satisfy the following criteria at study entry:

  1. Male or female infants aged from 9 months to less than 12 months who the investigator believes will comply with the requirements of the protocol (i.e., available for follow-up visits and specimen collection)
  2. Written informed consent obtained from their parents/guardians
  3. Healthy subjects as determined by:

     * Medical history
     * Physical examination
     * Clinical judgment of the investigator",", Infants 10 weeks to 6 months of age at Day 0:

1. Ongoing serious chronic disease
2. Immunocompromising condition or therapy
3. Diarrhea (having more frequent watery stools than usual within a 24 hour period) 6 weeks prior to enrollment
4. Intake of any anti-diarrheal medicine in the past week
5. Irritability, loss of appetite, general ill-feeling or vomiting in the past 24 hours
6. Acute disease one week prior to enrollment, with or without fever. Temperature =\>38C (oral) or axillary temperature =\>37.5C warrants deferral of the vaccination pending recovery of the subject
7. Receipt of antibiotics in past 14 days
8. Receipt of killed oral cholera vaccine
9. Receipt of live or killed enteric vaccine in 2 months
10. Receipt of DTwP1, OPV1 or Hepatitis B2 vaccines
11. One or two episodes of diarrhea lasting for more than 2 weeks in the past 2 months
12. One or two episodes of abdominal pain lasting for more than 2 weeks in the past 2 months
13. Z-score of \< -2 on the weight for age WHO Child Growth Standards

Exclusion Criteria, Infants 9 months to less than 12 months:

1. Ongoing serious chronic disease
2. Immunocompromising condition or therapy
3. Diarrhea (3 or more loose/watery stools within a 24 hour period) 6 weeks prior to enrollment
4. Intake of any anti-diarrheal medicine in the past week
5. Abdominal pain/cramps, loss of appetite, general ill-feeling or vomiting in the past 24 hours
6. Acute disease one week prior to enrollment, with or without fever. Temperature =\>38C (oral) or axillary temperature =\>37.5C warrants deferral of the vaccination pending recovery of the subject
7. Receipt of antibiotics in past 14 days
8. Receipt of killed oral cholera vaccine
9. Receipt of live or killed enteric vaccine in last 4 weeks
10. Receipt of measles-containing vaccine (MCV)
11. One or two episodes of diarrhea lasting for more than 2 weeks in the past 6 months
12. One or two episodes of abdominal pain lasting for more than 2 weeks in the past 6 months
13. Disease episode potentially related to measles
14. receipt of blood, blood products or a parenteral immunoglobulin preparation in past 3 months
15. History of anaphylaxis, any serious vaccine reaction, allergy to eggs, egg products or to any measles vaccine component
16. Any condition which in the opinion of the investigator might interfere with the evaluation of the study objectives
17. Z-score of \< -2 on the weight for age WHO Child Growth Standards",10 Weeks to 11 Months,,NCT00548054,https://clinicaltrials.gov/study/NCT00548054,D,False,True,"Missing required evidence: mRNA platform, cancer indication.",D_excluded,
ClinicalTrials.gov,NCT00554229,,NCT00554229,A Phase III Trial of ZD4054 (Zibotentan) (Endothelin A Antagonist) in Hormone Resistant Prostate Cancer With Bone Metastases,"A Phase III Trial to Test the Efficacy of ZD4054(Zibotentan), an Endothelin A Receptor Antagonist, Versus Placebo in Patients With Hormone Resistant Prostate Cancer (HRPC) and Bone Metastasis Who Are Pain Free and Mildly Symptomatic.",Prostate Cancer,ZD4054 | Zibotentan | ZD4054 10 mg oral tablet once daily; Placebo | Matching placebo oral tablet once daily,"Missing required evidence: mRNA platform, vaccine modality.",PHASE3,COMPLETED,2007-11-02,2007-11,AstraZeneca,"Martin Gleave, MD, FRCSC, FACS; Joel B Nelson, MD","Research Site, Gujarat, Gujarat, India; Research Site, Trivandrum, Kerala, India; Research Site, Bhopal, Madhya Pradesh, India; Research Site, Mumbai, Maharashtra, India; Research Site, Rohini, National Capital Territory of Delhi, India; Research Site, New Delhi, New Delhi, India; Research Site, Chandigarh, Punjab, India; Research Site, Ludhiana, Punjab, India; Research Site, Bikaner, Rajasthan, India; Research Site, Jaipur, Rajasthan, India; Research Site, Kolkota, West Bengal, India",Research Site; Research Site; Research Site; Research Site; Research Site; Research Site; Research Site; Research Site; Research Site; Research Site; Research Site,,,,"Patients who answer TRUE to the following criteria may be eligible to participate in this trial.

1. Confirmed diagnosis of prostate cancer (adenocarcinoma of the prostate) that has spread to the bone (bone metastases)
2. Increasing Prostate Specific Antigen (PSA) over a one month period
3. No pain, or mild pain from prostate cancer
4. Currently receiving treatment with surgical or medical castration","Patients who answer TRUE to the following may NOT eligible to participate in this trial.

1. Currently using opiates based pain killers)
2. Previous treatment with chemotherapy (paclitaxel, docetaxel, and mitoxantrone)
3. Suffering from heart failure or had a myocardial infarction within last 6 months
4. A history of epilepsy or seizures",18 Years,,NCT00554229,https://clinicaltrials.gov/study/NCT00554229,D,False,True,"Missing required evidence: mRNA platform, vaccine modality.",D_excluded,
ClinicalTrials.gov,NCT00559585,,NCT00559585,Methotrexate-Inadequate Response Study,"A Phase IIIB Multicenter, Randomized, Double-Blind, Double-Dummy Study to Compare the Efficacy and Safety of Abatacept Administered Subcutaneously and Intravenously in Subjects With Rheumatoid Arthritis, Receiving Background Methotrexate, and Experiencing an Inadequate Response to Methotrexate",Rheumatoid Arthritis (RA),"Subcutaneous (SC) Abatacept | Orencia / BMS-188667 | Participants received 125 mg weekly SC abatacept injections (with an intravenous \[IV\] abatacept loading dose on Day 1, based on weight). A double-dummy design was used to protect the blind, thus, participants also received IV injections of placebo (IV Placebo) with the exception that on Day 1 a loading dose of IV abatacept replaced the IV Placebo treatment.; Intravenous (IV) Abatacept | Orencia / BMS-188667 | Participants received IV abatacept infusions on Days 1, 15, 29, and every 28 days, thereafter. A double-dummy design was used to protect the blind, thus, participants also received SC injections of placebo (SC Placebo).

500mg (for body weight up to 60 kg)

750 mg (body weight between 61 and 100 kg)

1g (body weight above 100 kg)infusions","Missing required evidence: mRNA platform, vaccine modality.",PHASE3,COMPLETED,2007-11-15,2008-01,Bristol-Myers Squibb,Bristol-Myers Squibb,"Local Institution, Secunderabad, Andhra Pradesh, India; Local Institution, Navrangpura, Ahmedabad, Gujarat, India; Local Institution, Bangalore, Karnataka, India; Local Institution, Bangalore, India; Local Institution, Hyderabad, India; Local Institution, Lucknow, India; Local Institution, New Delhi, India",Local Institution; Local Institution; Local Institution; Local Institution; Local Institution; Local Institution; Local Institution,,,,"* Subjects who are considered methotrexate inadequate responders
* 10 or more swollen joints (66 joint count) and 12 or more tender joints (68 joint count)","* Subjects who failed one or multiple anti-tumor necrosis factor (TNF) therapies
* Subjects who meet diagnostic criteria for any other rheumatic disease (e.g., lupus erythematous)
* Subjects with active vasculitis of a major organ system (except for subcutaneous rheumatoid nodules)
* Subjects with severe chronic or recurrent bacterial infections
* Subjects who have received treatment with rituximab

An Anti-TNF Failure Sub-study was initiated (recruited separately from Main study) using the same treatment as the Main study in order to assess the immunogenicity and safety in the Anti-TNF Failure population. The Sub-study terminated due to low recruitment and participants were permitted to roll into the LT Open Label Period.",18 Years,,NCT00559585,https://clinicaltrials.gov/study/NCT00559585,D,False,True,"Missing required evidence: mRNA platform, vaccine modality.",D_excluded,
ClinicalTrials.gov,NCT00617669,,NCT00617669,A Phase III Trial of ZD4054 (Zibotentan) (Endothelin A Antagonist) and Docetaxel in Metastatic Hormone Resistant Prostate Cancer,"A Phase III, Randomised, Double-blind, Placebo-controlled Study to Assess the Efficacy and Safety of 10 mg ZD4054 (Zibotentan) in Combination With Docetaxel in Comparison With Docetaxel in Patients With Metastatic Hormone-resistant Prostate Cancer",Prostate Cancer,Docetaxel | Taxotere® | intravenous infusion given every three weeks; ZD4054 | Zibotentan | 10 mg oral once daily dose; Placebo | placebo oral tablet once daily,"Missing required evidence: mRNA platform, vaccine modality.",PHASE3,COMPLETED,2008-01-24,2008-01,AstraZeneca,"Karim Fizazi, MD, PhD; Judd W Moul, MD, FACS","Research Site, Bangalore, Karnataka, India; Research Site, Trivandrum, Kerala, India; Research Site, Bhopal, Madhya Pradesh, India; Research Site, Pune, Maharashtra, India; Research Site, Bikaner, Rajasthan, India; Research Site, Jaipur, Rajasthan, India; Research Site, Vellore, Tamil Nadu, India; Research Site, Kolkata, West Bengal, India; Research Site, Kolkota, West Bengal, India; Research Site, Delhi, India; Research Site, New Delhi, India",Research Site; Research Site; Research Site; Research Site; Research Site; Research Site; Research Site; Research Site; Research Site; Research Site; Research Site,,,,"Patients who answer TRUE to the following criteria may be eligible to participate in this trial.

* Confirmed diagnosis of prostate cancer (adenocarcinoma of the prostate) that has spread to the bone (bone metastasis)
* Increasing Prostate Specific Antigen (PSA), collected within one year of enrollment
* Currently receiving treatment with surgical or medical castration","Patients who answer TRUE to the following ARE NOT eligible to participate in this trial.

* Previous treatment with chemotherapy (paclitaxel, docetaxel, and mitoxantrone). Prior targeted cancer therapies are permitted if received during a previous clinical trial.
* Suffering from heart failure or had a myocardial infarction within last 6 months
* A history of epilepsy or seizures",18 Years,,NCT00617669,https://clinicaltrials.gov/study/NCT00617669,D,False,True,"Missing required evidence: mRNA platform, vaccine modality.",D_excluded,
ClinicalTrials.gov,NCT00617812,,NCT00617812,Safety and Immunogenicity Study of a Liquid Pentavalent Combination Vaccine,An Open Label Multicentric Study to Evaluate the Immunogenicity and Safety of Indigenously Developed DTPwHB-Hib (Liquid) Pentavalent Combination Vaccine (Shan 5) in Indian Infants.,Diphtheria; Tetanus; Pertussis; Hepatitis B; Haemophilus Influenzae Type B,"Shan5 | Diphtheria, tetanus, whole cell pertussis, recombinant hepatitis B and Hib tetanus toxoid conjugate pentavalent liquid combination vaccine","Missing required evidence: mRNA platform, cancer indication.",PHASE4,COMPLETED,2008-02-06,2008-03,Shantha Biotechnics Limited,"Raman Rao, MD","Deccan College of Medical Sciences, Hyderabaad, Andhra Pradesh, India; Ankur Institute of Child Health, Ahmedabad, Gujarat, India; JSS Medical College, Mysore, Karnataka, India; Institute of Child Health, Kolkata, West Bengal, India",Deccan College of Medical Sciences; Ankur Institute of Child Health; JSS Medical College; Institute of Child Health,,,,"* Healthy children in the age group six to eight weeks
* Born after a normal gestational period (36 - 42 weeks)
* Mother's HBsAg assured negative.
* Father, mother or legally acceptable representative properly informed about the study and having signed the informed consent form.
* Parents willing to fill the Diary Card","* Administration of immunoglobulin or any blood products since birth.
* Use of any investigational, on-registered drug, or vaccine other than the study vaccine (with the exception of OPV \& BCG vaccine) during the study period or within 30 days preceding the first dose of the study vaccine.
* Previous vaccination or evidence of infection with DTP.
* History of allergic disease or reaction likely to be exacerbated by any component of the vaccine including allergy to antibiotics.
* Major congenital or hereditary immunodeficiency.
* Infants having evidence of disease or fever, history of allergic disease or persistent hematological, hepatic, renal, cardiac or respiratory disease and signs of a CNS disorder at the time of vaccination.
* Infants showing any of the following reactions after any dose of study vaccine will be withdrawn for subsequent doses: body temperature more than 40.4 degree Celsius, persistent screaming or crying for 3 hours within 48 hours of vaccination, seizures, encephalopathy and hypersensitivity reaction.
* Parent/s or guardian of subject unable to maintain diary card
* Simultaneous participation in any other clinical study",6 Weeks to 8 Weeks,,NCT00617812,https://clinicaltrials.gov/study/NCT00617812,D,False,True,"Missing required evidence: mRNA platform, cancer indication.",D_excluded,
ClinicalTrials.gov,NCT00624975,,NCT00624975,Safety and Immunogenicity of Peru-15 Vaccine When Given With Measles Vaccine in Healthy Indian and Bangladeshi Infants,"A Multi-site, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Safety and Immunogenicity of Trehalose-reformulated Peru-15 (Choleragarde)Vaccine Given Simultaneously With Measles Vaccine in Healthy Indian and Bangladeshi Infants",Cholera; Diarrhea; Vibrio Infections,"Peru-15 Vaccine | CholeraGarde | up to 1 x 10\^9 CFU of Peru-15 given in 5ml single dose vials with 20 ml buffer solution, given once; Placebo | 25 mL of buffer solution (2.5 g sodium bicarbonate and 1.65 g ascorbic acid per 100mL potable water)","Missing required evidence: mRNA platform, cancer indication.",PHASE2,TERMINATED,2008-02-19,2008-11,International Vaccine Institute,"John Clemens, MD","Christian Medical College, Vellore, India",Christian Medical College,,,,"Healthy male and female infants aged 9 - 12 months will be recruited from Vellore, India and Dhaka, Bangladesh.

All subjects must satisfy the following criteria at study entry:

1. Male or female infants aged 9 - 12 months whose parents or primary caretaker have given the written informed consent prior to study entry
2. Will comply with the requirements of the protocol (i.e. available for follow-up visits and specimen collection).
3. Healthy subjects as determined by:

   * Medical history
   * Physical examination
   * Clinical judgment of the investigator","1. Parents or primary caregiver are unwilling or unable to give written informed consent to participate in the study
2. Ongoing serious chronic disease
3. Immunocompromising condition or therapy
4. Abdominal pain or cramps, loss of appetite, nausea, general ill-feeling or vomiting in the past 24 hours
5. Intake of any anti-diarrheal medicine in the past week
6. Acute disease one week prior to enrollment, with or without fever. Temperature ≥38ºC (oral) or axillary temperature ≥ 37.5ºC warrants deferral of the vaccination pending recovery of the subject
7. Receipt of antibiotics in the past 2 weeks
8. Receipt of live or killed enteric vaccine in the last 4 weeks
9. Diarrhea (3 or more loose stools within a 24-hour period) 6 weeks prior to enrollment
10. One or two episodes of diarrhea lasting for more than 2 weeks in the past 6 months
11. One or two episodes of abdominal pain lasting for more than 2 weeks in the past 6 months
12. Receipt of killed oral cholera vaccine
13. Have previously received a dose of a measles-containing vaccine (MCV)
14. Have previously presented with a disease potentially related to measles
15. Receipt of blood, blood products or a parenteral immunoglobulin preparation in the previous 3 months
16. History of anaphylaxis, any serious vaccine reaction, allergy to eggs, egg products or to any measles vaccine component
17. any condition which in the opinion of the investigator, might interfere with the evaluation of the study objectives",9 Months to 12 Months,,NCT00624975,https://clinicaltrials.gov/study/NCT00624975,D,False,True,"Missing required evidence: mRNA platform, cancer indication.",D_excluded,
